Product ID,Product Name,CMDB ID,Criticality Tier,Install Status,SOA Applicable,Collection Date
AAP-001,Business Applications,AAP-001,empty value,empty value,empty value,2026-01-26T17:05:30.270170
ANSI-001,Business Applications,ANSI-001,empty value,empty value,empty value,2026-01-26T15:31:24.034507
ARR-002,ARR Application,ARR-002,C1,empty value,empty value,2026-01-26T14:36:54.946246
ARR-007,ARR-007 Application,ARR-007,C2,empty value,empty value,2026-01-26T14:38:19.649775
ASRE-001,ASRE Application,ASRE-001,C1,empty value,empty value,2026-01-26T14:38:20.540659
ASRE-002,ASRE Application 2,ASRE-002,C1,empty value,empty value,2026-01-26T14:40:04.118761
ASRE-005,ASRE Application 5,ASRE-005,C2,empty value,empty value,2026-01-26T14:40:04.121707
ASRE-013,ASRE Application 13,ASRE-013,C1,empty value,empty value,2026-01-26T14:40:04.123131
ASSH-001,ASSH-001,ASSH-001,C1,empty value,empty value,2026-01-26T14:45:02.231083
ATLA-001,ATLA-001,ATLA-001,empty value,empty value,empty value,2026-01-26T14:23:30.244700
BADG-001,BADG-001,BADG-001,empty value,empty value,empty value,2026-01-26T14:23:30.248747
BEAK-001,BEAK-001,BEAK-001,empty value,empty value,empty value,2026-01-26T14:23:30.248755
BOTA-001,BOTA-001,BOTA-001,empty value,empty value,empty value,2026-01-26T14:23:30.248757
BREW-001,BREW-001,BREW-001,empty value,empty value,empty value,2026-01-26T14:23:30.248759
CGER-001,CGER-001,CGER-001,empty value,empty value,empty value,2026-01-26T14:23:30.248761
CHAR-001,CHAR-001,CHAR-001,empty value,empty value,empty value,2026-01-26T14:23:30.248763
CICA-001,CICA-001,CICA-001,empty value,empty value,empty value,2026-01-26T14:23:30.248764
CIRP-001,CIRP-001,CIRP-001,empty value,empty value,empty value,2026-01-26T14:23:30.248766
CLIO-001,CLIO-001,CLIO-001,empty value,empty value,empty value,2026-01-26T14:23:30.248768
COMP-016,COMP-016,COMP-016,empty value,empty value,empty value,2026-01-26T14:23:30.248769
COMP-024,COMP-024,COMP-024,empty value,empty value,empty value,2026-01-26T14:23:30.249514
COMT-001,COMT-001,COMT-001,empty value,empty value,empty value,2026-01-26T14:23:30.249518
CONJ-001,CONJ-001,CONJ-001,empty value,empty value,empty value,2026-01-26T14:23:30.249520
CPAA-001,CPAA-001,CPAA-001,empty value,empty value,empty value,2026-01-26T14:23:30.249521
CSPJ-001,CSPJ-001,CSPJ-001,empty value,empty value,empty value,2026-01-26T14:23:30.249524
CTS-001,CTS-001,CTS-001,empty value,empty value,empty value,2026-01-26T14:23:30.249525
CVP-001,CVP-001,CVP-001,empty value,empty value,empty value,2026-01-26T14:23:30.249527
DARG-001,DARG-001,DARG-001,empty value,empty value,empty value,2026-01-26T14:23:30.249529
DGIT-001,DGIT-001,DGIT-001,empty value,empty value,empty value,2026-01-26T14:23:30.249531
DIST-005,DIST-005,DIST-005,empty value,empty value,empty value,2026-01-26T14:23:30.249532
DIST-012,DIST-012,DIST-012,empty value,empty value,empty value,2026-01-26T14:23:30.250215
DIST-013,DIST-013,DIST-013,empty value,empty value,empty value,2026-01-26T14:23:30.250217
DPLM-001,DPLM-001,DPLM-001,empty value,empty value,empty value,2026-01-26T14:23:30.250219
DRDB-001,DRDB-001,DRDB-001,empty value,empty value,empty value,2026-01-26T14:23:30.250221
EAP-007,EAP-007,EAP-007,empty value,empty value,empty value,2026-01-26T14:23:30.250223
ERRA-001,ERRA-001,ERRA-001,empty value,empty value,empty value,2026-01-26T14:23:30.250225
ETER-001,ETER-001,ETER-001,empty value,empty value,empty value,2026-01-26T14:23:30.250226
EXOD-001,EXOD-001,EXOD-001,empty value,empty value,empty value,2026-01-26T14:23:30.250228
EXOD-002,EXOD-002,EXOD-002,empty value,empty value,empty value,2026-01-26T14:23:30.250230
EXOD-003,EXOD-003,EXOD-003,empty value,empty value,empty value,2026-01-26T14:23:30.250231
FMKR-001,FMKR-001,FMKR-001,empty value,empty value,empty value,2026-01-26T14:23:30.250811
FUSE-002,FUSE-002,FUSE-002,empty value,empty value,empty value,2026-01-26T14:23:30.250814
FUSE-007,FUSE-007,FUSE-007,empty value,empty value,empty value,2026-01-26T14:23:30.250816
FUSE-010,FUSE-010,FUSE-010,empty value,empty value,empty value,2026-01-26T14:23:30.250818
GITS-001,GITS-001,GITS-001,empty value,empty value,empty value,2026-01-26T14:23:30.250820
GWVE-001,GWVE-001,GWVE-001,empty value,empty value,empty value,2026-01-26T14:23:30.250821
HIS-001,HIS-001,HIS-001,empty value,empty value,empty value,2026-01-26T14:23:30.250823
HONE-001,HONE-001,HONE-001,empty value,empty value,empty value,2026-01-26T14:23:30.250825
IBMP-002,IBMP-002,IBMP-002,empty value,empty value,empty value,2026-01-26T14:23:30.250827
IIB-001,IIB-001,IIB-001,empty value,empty value,empty value,2026-01-26T14:23:30.250828
INDY-001,INDY-001,INDY-001,empty value,empty value,empty value,2026-01-26T14:23:30.251441
ISV-002,ISV-002,ISV-002,empty value,empty value,empty value,2026-01-26T14:23:30.251444
ISVD-001,ISVD-001,ISVD-001,empty value,empty value,empty value,2026-01-26T14:23:30.251446
