STI,CMDB ID,Application Name,SOA Applicable,SOA Status,ESS Self-Assessment Status,ESS Assessment URL,PIA Status,PIA Assessment URL,DPQ Complete,SIA Status,Criticality Tier,Data Classification,Install Status,Collection Method,Collection Date,Status
AAP-001,AAP-001,Business Applications,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T17:05:30.270170,Extracted via Console
ANSI-001,ANSI-001,Business Applications,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T15:31:24.034507,Extracted via Console
ARR-002,ARR-002,ARR Application,empty value,empty value,empty value,https://example.com/ess,empty value,empty value,Yes,empty value,C1,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:36:54.946246,Extracted via Console
ARR-007,ARR-007,ARR-007 Application,empty value,empty value,empty value,https://redhat.service-now.com/ess/123,empty value,https://redhat.service-now.com/pia/456,No,empty value,C2,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:38:19.649775,Extracted via Console
ASRE-001,ASRE-001,ASRE Application,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,C1,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:38:20.540659,Extracted via Console
ASRE-002,ASRE-002,ASRE Application 2,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,C1,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:40:04.118761,Extracted via Console
ASRE-005,ASRE-005,ASRE Application 5,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,C2,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:40:04.121707,Extracted via Console
ASRE-013,ASRE-013,ASRE Application 13,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,C1,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:40:04.123131,Extracted via Console
ASSH-001,ASSH-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,C1,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:45:02.231083,Extracted via Console
ATLA-001,ATLA-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.244700,Pending Collection
